employee_number,name,company,country,dob,age,department,salary,has_parking_space
920539,Robert Wang,"Hernandez, Cunningham and Clark",Suriname,1986-10-21,35,Finance,94036,False
979065,Austin Welch,Wilson and Sons,Mauritania,1987-11-11,34,Consulting,130932,True
172167,Linda Page,Spears-Brown,Israel,1968-11-06,53,Finance,98920,False
184737,Kathleen Lambert,Spears-Brown,Venezuela,1972-10-25,49,Developer,126102,True
851465,Lindsay Smith,"Hernandez, Cunningham and Clark",Germany,1977-04-06,44,Developer,84849,True
664316,Logan Garcia,"Hernandez, Cunningham and Clark",USA,1973-03-08,48,Developer,121975,False
302247,Christine Perez,Wilson and Sons,Venezuela,1973-06-29,48,Management,134840,False
672534,Mark Williams,"Hernandez, Cunningham and Clark",India,1988-02-02,33,Finance,108659,False
627093,Jessica Smith,Spears-Brown,Venezuela,1987-03-20,34,Finance,95108,False
460868,Jeremy Cook,Wilson and Sons,Israel,1989-02-08,32,Management,133361,True
919280,Victoria Nguyen,"Hernandez, Cunningham and Clark",Mauritania,1980-04-18,41,Finance,102394,False
286153,Jennifer Vasquez,Spears-Brown,Mauritania,1982-09-01,39,Management,122630,True
606604,Andrew Strickland,Wilson and Sons,Venezuela,1977-01-31,45,Finance,88308,True
771922,Kelsey Lee,Spears-Brown,India,1974-07-17,47,Consulting,133354,False
606207,Omar Patterson,"Hernandez, Cunningham and Clark",Suriname,1985-01-24,37,Consulting,99832,False
534247,Cassandra Ramirez,Spears-Brown,Suriname,1976-07-25,45,System Architect,76362,False
933874,Zachary Gallagher,"Hernandez, Cunningham and Clark",Germany,1972-08-11,49,Management,112137,True
122753,Mr. John Nash,"Hernandez, Cunningham and Clark",Suriname,1980-10-05,41,Developer,90809,False
804572,Rhonda Smith,"Hernandez, Cunningham and Clark",India,1983-07-13,38,Finance,75344,True
517088,Martin Levy,Spears-Brown,Japan,1972-02-14,49,Management,123681,False
703509,Lisa Phillips,Spears-Brown,Japan,1990-09-05,31,Management,103309,False
250029,Jennifer Rodgers,"Hernandez, Cunningham and Clark",Germany,1980-08-21,41,Developer,108389,False
990054,Elizabeth Foster,Wilson and Sons,Mauritania,1983-01-28,39,Developer,84062,True
476837,Brent Brennan,Spears-Brown,Suriname,1986-09-21,35,Management,120022,True
567812,Robin Mcmahon,Wilson and Sons,Israel,1979-10-07,42,Management,94331,True
325973,Cynthia Dickerson,Spears-Brown,Suriname,1976-04-23,45,Finance,109171,False
414171,Amber Sloan,"Hernandez, Cunningham and Clark",Germany,1982-11-08,39,Consulting,100644,False
918309,Jeffrey James,"Hernandez, Cunningham and Clark",Cayman Islands,1985-12-31,36,Management,79541,False
756635,Elizabeth Bush,"Hernandez, Cunningham and Clark",USA,1974-09-08,47,System Architect,123619,True
560416,Justin Anderson,Spears-Brown,India,1971-12-19,50,Developer,75715,True
701315,Michael Fischer,Wilson and Sons,India,1971-08-24,50,System Architect,106773,False
993877,Jason Baxter,Wilson and Sons,Japan,1976-12-16,45,Consulting,126594,False
140866,Joyce Lucas,Spears-Brown,Japan,1975-05-26,46,Developer,117384,False
901656,Alex Rodriguez,"Hernandez, Cunningham and Clark",Israel,1975-11-08,46,System Architect,132988,True
589974,Martha Martin,"Hernandez, Cunningham and Clark",Cayman Islands,1969-06-11,52,Finance,98668,False
238955,Travis Wallace,Spears-Brown,USA,1975-04-09,46,Developer,129124,True
683924,Christopher Barnett,Wilson and Sons,Mauritania,1989-10-18,32,Management,123480,True
628844,Elizabeth Thomas,Spears-Brown,Cayman Islands,1990-06-30,31,System Architect,77442,True
980867,Anthony Woods,Spears-Brown,Mauritania,1977-07-09,44,Management,95510,False
452246,Kevin Hall,Spears-Brown,USA,1976-01-26,46,Finance,130051,False
